id_event,sort_order,time,text,event_type,side,event_team,opponent,player,fastBreak
1,1,2,Attempt missed. Mladen Petric (Hamburg) left footed shot from the left side of the box is high and wide to the left. Assisted by Gokhan Tore.,1,2,Hamburg SV,Borussia Dortmund,mladen petric,0
2,2,4,"Corner,  Borussia Dortmund. Conceded by Dennis Diekmeier.",2,1,Borussia Dortmund,Hamburg SV,dennis diekmeier,0
3,3,4,"Corner,  Borussia Dortmund. Conceded by Heiko Westermann.",2,1,Borussia Dortmund,Hamburg SV,heiko westermann,0
4,4,7,Foul by Sven Bender (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,sven bender,0
5,5,7,Gokhan Tore (Hamburg) wins a free kick in the defensive half.,8,2,Hamburg SV,Borussia Dortmund,gokhan tore,0
6,6,9,Hand ball by Jose Paolo Guerrero (Hamburg).,10,2,Hamburg SV,Borussia Dortmund,jose paolo guerrero,0
7,7,10,"Corner,  Hamburg. Conceded by Lukasz Piszczek.",2,2,Hamburg SV,Borussia Dortmund,lukasz piszczek,0
8,8,11,Chris Lowe (Borussia Dortmund) wins a free kick in the defensive half.,8,1,Borussia Dortmund,Hamburg SV,chris lowe,0
9,9,11,Foul by Gojko Kacar (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,gojko kacar,0
10,10,13,Foul by Gokhan Tore (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,gokhan tore,0
11,11,14,Sven Bender (Borussia Dortmund) wins a free kick on the left wing.,8,1,Borussia Dortmund,Hamburg SV,sven bender,0
12,12,14,"Attempt missed. Shinji Kagawa (Borussia Dortmund) right footed shot from outside the box is close, but misses the top right corner. Assisted by Mario Gotze.",1,1,Borussia Dortmund,Hamburg SV,shinji kagawa,0
13,13,14,Foul by Gojko Kacar (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,gojko kacar,0
14,14,17,"Goal!  Borussia Dortmund 1, Hamburg 0. Kevin Grosskreutz (Borussia Dortmund) left footed shot from the left side of the box to the bottom right corner. Assisted by Mario Gotze.",1,1,Borussia Dortmund,Hamburg SV,kevin grosskreutz,0
15,15,19,Attempt blocked. Mats Hummels (Borussia Dortmund) right footed shot from outside the box is blocked.,1,1,Borussia Dortmund,Hamburg SV,mats hummels,0
16,16,20,Foul by Sven Bender (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,sven bender,0
17,17,20,Mladen Petric (Hamburg) wins a free kick in the attacking half.,8,2,Hamburg SV,Borussia Dortmund,mladen petric,0
18,18,20,Attempt blocked. Tomas Rincon (Hamburg) right footed shot from outside the box is blocked.,1,2,Hamburg SV,Borussia Dortmund,tomas rincon,0
19,19,25,Shinji Kagawa (Borussia Dortmund) hits the right post with a right footed shot from the centre of the box. Assisted by Lukasz Piszczek.,1,1,Borussia Dortmund,Hamburg SV,shinji kagawa,0
