id_odsp,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a
3000,2011/8/5,D1,2012,germany,Borussia Dortmund,Hamburg SV,3,1,1.56,4.41,7.42
3001,2011/8/6,D1,2012,germany,FC Augsburg,SC Freiburg,2,2,2.36,3.6,3.4
3002,2011/8/6,D1,2012,germany,Werder Bremen,Kaiserslautern,2,0,1.83,4.2,4.8
3003,2011/8/6,F1,2012,france,Paris Saint-Germain,Lorient,0,1,1.55,4.5,9.4
3004,2011/8/6,F1,2012,france,Caen,Valenciennes,1,0,2.5,3.4,3.45
3005,2011/8/6,D1,2012,germany,Hertha Berlin,Nurnberg,0,1,2.06,3.75,3.95
3006,2011/8/6,F1,2012,france,Brest,Evian Thonon Gaillard,2,2,2.29,3.25,3.85
3007,2011/8/6,F1,2012,france,AC Ajaccio,Toulouse,0,2,2.8,3.1,3.05
3008,2011/8/6,F1,2012,france,Nice,Lyon,1,3,4.5,3.55,2
3009,2011/8/6,D1,2012,germany,FC Cologne,VfL Wolfsburg,0,3,3,3.8,2.54
3010,2011/8/6,F1,2012,france,AS Nancy Lorraine,Lille,1,1,3.66,3.5,2.42
3011,2011/8/6,F1,2012,france,Montpellier,AJ Auxerre,3,1,2.12,3.3,4.44
3012,2011/8/6,D1,2012,germany,VfB Stuttgart,Schalke 04,3,0,2.31,3.8,3.27
3013,2011/8/6,D1,2012,germany,Hannover 96,TSG Hoffenheim,2,1,2.43,3.75,3.4
3014,2011/8/6,F1,2012,france,Marseille,Sochaux,2,2,1.5,4.4,9
3015,2011/8/7,F1,2012,france,Bordeaux,St Etienne,1,2,1.82,3.65,5.5
3016,2011/8/7,F1,2012,france,Dijon FCO,Stade Rennes,1,5,3.35,3.27,2.5
3017,2011/8/7,D1,2012,germany,Mainz,Bayer Leverkusen,2,0,3.45,3.4,2.5
3018,2011/8/7,D1,2012,germany,Bayern Munich,Borussia Monchengladbach,0,1,1.24,7.4,15
3019,2011/8/13,E0,2012,england,Fulham,Aston Villa,0,0,1.95,3.65,4.51
3020,2011/8/13,E0,2012,england,Newcastle,Arsenal,0,0,3.6,3.55,2.25
3021,2011/8/13,E0,2012,england,QPR,Bolton,0,4,2.2,3.35,4.09
3022,2011/8/13,F1,2012,france,Sochaux,Caen,1,2,2,3.4,4.7
3023,2011/8/13,D1,2012,germany,Schalke 04,FC Cologne,5,1,1.67,4.2,6.14
3024,2011/8/13,F1,2012,france,Lyon,AC Ajaccio,1,1,1.3,5.8,14.58
3025,2011/8/13,D1,2012,germany,TSG Hoffenheim,Borussia Dortmund,1,0,4.9,3.8,1.88
3026,2011/8/13,E0,2012,england,Wigan,Norwich City,1,1,2.5,3.52,3.15
3027,2011/8/13,F1,2012,france,St Etienne,AS Nancy Lorraine,1,0,2.25,3.2,3.95
3028,2011/8/13,D1,2012,germany,Nurnberg,Hannover 96,1,2,1.97,3.9,4.2
3029,2011/8/13,D1,2012,germany,SC Freiburg,Mainz,1,2,3,3.52,2.6
3030,2011/8/13,E0,2012,england,Liverpool,Sunderland,1,1,1.45,4.75,10
3031,2011/8/13,F1,2012,france,Lorient,Bordeaux,1,1,2.6,3.27,3.25
3032,2011/8/13,E0,2012,england,Blackburn,Wolves,1,2,2.58,3.25,3.25
3033,2011/8/13,D1,2012,germany,Hamburg SV,Hertha Berlin,2,2,2.12,3.6,3.98
3034,2011/8/13,D1,2012,germany,Borussia Monchengladbach,VfB Stuttgart,1,1,2.94,3.65,2.6
3035,2011/8/13,F1,2012,france,Stade Rennes,Paris Saint-Germain,1,1,2.66,3.25,3.1
3036,2011/8/13,F1,2012,france,Valenciennes,Brest,0,0,1.99,3.4,4.9
3037,2011/8/13,F1,2012,france,Toulouse,Dijon FCO,2,0,1.68,3.8,7
3038,2011/8/13,D1,2012,germany,VfL Wolfsburg,Bayern Munich,0,1,4.7,3.79,1.95
3039,2011/8/14,F1,2012,france,Lille,Montpellier,0,1,1.6,4,8.19
3040,2011/8/14,E0,2012,england,West Brom,Manchester Utd,1,2,6.2,4,1.69
3041,2011/8/14,F1,2012,france,AJ Auxerre,Marseille,2,2,3.95,3.31,2.24
3042,2011/8/14,F1,2012,france,Evian Thonon Gaillard,Nice,1,0,2.31,3.26,3.75
3043,2011/8/14,D1,2012,germany,Bayer Leverkusen,Werder Bremen,1,0,1.91,4,4.3
3044,2011/8/14,D1,2012,germany,Kaiserslautern,FC Augsburg,1,1,1.94,3.65,4.65
3045,2011/8/14,E0,2012,england,Stoke City,Chelsea,0,0,4.4,3.5,2.04
3046,2011/8/15,E0,2012,england,Manchester City,Swansea,4,0,1.46,4.75,10
3047,2011/8/19,D1,2012,germany,Borussia Monchengladbach,VfL Wolfsburg,4,1,2.88,3.6,2.64
3048,2011/8/20,D1,2012,germany,FC Cologne,Kaiserslautern,1,1,3,3.65,2.54
3049,2011/8/20,E0,2012,england,Chelsea,West Brom,2,1,1.31,6,13.55
3050,2011/8/20,D1,2012,germany,Borussia Dortmund,Nurnberg,2,0,1.36,5.6,10.9
3051,2011/8/20,F1,2012,france,Brest,Lyon,1,1,4,3.3,2.24
3052,2011/8/20,D1,2012,germany,FC Augsburg,TSG Hoffenheim,0,2,3.11,3.6,2.44
3053,2011/8/20,E0,2012,england,Arsenal,Liverpool,0,2,2.37,3.4,3.45
3054,2011/8/20,E0,2012,england,Aston Villa,Blackburn,3,1,1.69,3.8,6.6
3055,2011/8/20,D1,2012,germany,VfB Stuttgart,Bayer Leverkusen,0,1,2.31,3.7,3.3
3056,2011/8/20,E0,2012,england,Swansea,Wigan,0,0,2.04,3.65,4.2
3057,2011/8/20,D1,2012,germany,Bayern Munich,Hamburg SV,5,0,1.26,6.6,16.5
3058,2011/8/20,F1,2012,france,AC Ajaccio,Evian Thonon Gaillard,1,1,2.6,3.3,3.26
3059,2011/8/20,E0,2012,england,Everton,QPR,0,1,1.46,4.59,9.6
3060,2011/8/20,D1,2012,germany,Werder Bremen,SC Freiburg,5,3,1.63,4.3,6.2
3061,2011/8/20,F1,2012,france,Dijon FCO,Lorient,2,0,2.88,3.28,2.9
3062,2011/8/20,F1,2012,france,Caen,Lille,1,2,4.3,3.36,2.1
3063,2011/8/20,F1,2012,france,Bordeaux,AJ Auxerre,1,1,1.89,3.45,5.4
3064,2011/8/20,E0,2012,england,Sunderland,Newcastle,0,1,2.54,3.2,3.4
3065,2011/8/20,F1,2012,france,Nice,Toulouse,1,1,3.1,3.1,2.78
3066,2011/8/21,F1,2012,france,Montpellier,Stade Rennes,4,0,2.4,3.2,4
3067,2011/8/21,E0,2012,england,Wolves,Fulham,2,0,2.76,3.3,2.92
3068,2011/8/21,F1,2012,france,AS Nancy Lorraine,Sochaux,1,2,2.24,3.35,3.9
3069,2011/8/21,F1,2012,france,Paris Saint-Germain,Valenciennes,2,1,1.67,4,7.5
3070,2011/8/21,F1,2012,france,Marseille,St Etienne,0,0,1.6,4.09,7.8
3071,2011/8/21,D1,2012,germany,Hannover 96,Hertha Berlin,1,1,2.31,3.7,3.3
3072,2011/8/21,E0,2012,england,Norwich City,Stoke City,1,1,2.94,3.35,2.74
3073,2011/8/21,E0,2012,england,Bolton,Manchester City,2,3,4.9,3.9,1.85
3074,2011/8/21,D1,2012,germany,Mainz,Schalke 04,2,4,2.46,3.68,3.15
